x,y,ds,dist,yaw,linear_vel,angular_vel,lane_id,left_x,left_y,right_x,right_y
-500.032630785832,55.5336261175412,2.00001673596995,274.114738259314,-1.48749483162782,2.77777767181396,0,"array('q', [32874])",,,,
-499.86622151415,53.5405744825615,1.99998671630513,276.114724975619,-1.49338755364464,2.77777767181396,0,"array('q', [32874])",,,,
-499.711559332912,51.546573887294,1.99998969103155,278.11471466665,-1.49462809341091,2.77777767181396,0,"array('q', [32874, 39879])",,,,
-499.55936932005,49.5523621662599,2.00001054705337,280.114725213704,-1.48501405723966,2.77777767181396,0,"array('q', [32874, 39879])",,,,
-499.388007403871,47.5596265704989,2.00009001320678,282.114815226911,-1.47644706744637,2.77777767181396,0,"array('q', [39879])",,,,
-499.199561462357,45.56823371364,2.00028932487822,284.115104551789,-1.47601157941185,2.77777767181396,0,"array('q', [39879])",,,,
-499.010251464218,43.5769562792579,2.00025600763371,286.115360559423,-1.48015710006137,2.77777767181396,0,"array('q', [39879])",,,,
-498.829214799172,41.5850965431711,2.00006986936326,288.115430428786,-1.48888544527766,2.77777767181396,0,"array('q', [39879])",,,,
-498.665588856936,39.5919567811977,1.99984488391775,290.115275312704,-1.50217967967263,2.77777767181396,0,"array('q', [39879])",,,,
-498.528475510361,37.5968419361421,1.99982082066625,292.11509613337,-1.5114900516334,2.77777767181396,0,"array('q', [39879])",,,,
-498.4857788,36.8777504,0.720357998794251,292.835454132164,-1.5114900516334,0,0,"array('q', [39879])",,,,
