station,node,x,y,z,qx,qy,qz,qw
D14S,HD14S01,-335.657470703125,-89.264533996582,1.772405890826,0,0,0.735533507364836,0.677488346426403
D14S,HD14S02,-338.236999511719,-45.6468696594238,1.77107092969555,0,0,0.743606203537486,0.668617838574896
D1401N,HD1401N01,-344.496032714844,41.3602333068848,1.77107092969555,0,0,0.734547011828782,0.678557799611358
D20S,HD20S01,-346.027587890625,61.5009536743164,1.77107092969555,0,0,0.759125307980188,0.6509445189753
D20S,HD20S02,-348.143218994141,78.7492065429688,1.77107092969555,0,0,0.778432133330527,0.627728774072437
D20S,HD20S03,-353.455780029297,84.7701034545898,1.77107092969555,0,0,-0.999767693274731,0.0215536420152823
D20S,HD20S04,-365.972137451172,83.1432800292969,1.77107092969555,0,0,-0.983222262335732,0.182411575420544
D15S,HD15S01,-412.906677246094,78.1516799926758,1.77107092969555,0,0,-0.997917660719526,0.0645007164616759
D15S,HD15S02,-438.081665039063,77.2548217773438,1.77107092969555,0,0,-0.998828830333514,0.0483835477676534
D15S,HD15S03,-469.224700927734,77.1100234985352,1.77107092969555,0,0,0.727455094462831,0.6861552925833
D21S,HD21S01,-441.892639160156,42.2676811218262,1.77107092969555,0,0,-0.531427444859622,0.847103813502202
D21S,HD21S02,-440.194488525391,72.4858856201172,1.77107092969555,0,0,0.740679897192546,0.671858087615859
D1501N,HD1501N01,-493.641174316406,72.8574371337891,1.77107092969555,0,0,-0.999273502912196,0.0381112368939782
D1501N,HD1501N02,-506.569610595703,71.9417419433594,1.77107092969555,0,0,-0.999492137536653,0.0318663929934355
D1501N,HD1501N03,-526.682922363281,70.2330780029297,1.77107092969555,0,0,-0.999459689229265,0.0328683678593916
D22S,HD22S01,-499.892791748047,40.7889556884766,1.77107092969555,0,0,-0.662104004179174,0.749411961240214
D22S,HD22S02,-497.157531738281,66.2628631591797,1.77107092969555,0,0,0.735249075202121,0.677797017855955
D2201N,HD2201N01,-581.667236328125,66.0775299072266,1.77107092969555,0,0,0.999975289723738,0.00702993185789168
